"atc_code","atc_display","dwh_wirkstoff","found_ask","cas_display","cas_name_source","action_import","comment"
"N02BB02","Metamizol-Natrium","Metamizol natrium-1-Wasser","258","Metamizol-Natrium-Monohydrat","BfArM BEZVO","add_cas_name",""
"A10BA02|A10BD07","Metformin|Metformin und Sitagliptin","Metformin hydrochlorid","6150","Metforminhydrochlorid","BfArM BEZVO","add_cas_name",""
"N07BC02","Methadon","Methadon hydrochlorid","6581","Methadonhydrochlorid","BfArM BEZVO","add_cas_name",""
"G02AB01","Methylergometrin","Methylergometrin maleat","13057","Methylergometrinmaleat","BfArM BEZVO","add_cas_name",""
"A06AH01","Methylnaltrexonbromid","Methylnaltrexonium bromid","35885","Methylnaltrexonbromid","BfArM BEZVO","add_cas_name",""
"N06BA04","Methylphenidat","Methylphenidat hydrochlorid","6085","Methylphenidathydrochlorid","BfArM BEZVO","add_cas_name",""
"D07AC14","Methylprednisolonaceponat","Methylprednisolon aceponat","23093","Methylprednisolonaceponat","BfArM BEZVO","add_cas_name",""
"V03AB17|V04CX00","Methylthioniniumchlorid|","Methylthioninium chlorid","197","Methylthioniniumchlorid","BfArM BEZVO","add_cas_name",""
"A03FA01","Metoclopramid","Metoclopramid hydrochlorid-1-Wasser","10700","Metoclopramidhydrochlorid-Monohydrat","BfArM BEZVO","add_cas_name",""
"C07AB02","Metoprolol","Metoprolol succinat","11953","Metoprololsuccinat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"C07AB02","Metoprolol","Metoprolol tartrat","11849","Metoprololtartrat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"D01AC20|D01AC52","Imidazole/Triazole in Kombination mit Corticosteroiden|Miconazol, Kombinationen","Miconazol nitrat","9653","Miconazolnitrat","BfArM BEZVO","add_cas_name",""
"N06AX17","Milnacipran","Milnacipran hydrochlorid","26504","Milnacipranhydrochlorid","BfArM BEZVO","add_cas_name",""
"M03AC10","Mivacuriumchlorid","Mivacurium-Kation","36141","Mivacurium","BfArM BEZVO","add_cas_name",""
"D07AC13|R01AD09|R03AL12","Mometason|Mometason|Indacaterol, Glycopyrroniumbromid und Mometason","Mometason furoat","24367","Mometasonfuroat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"N02AA01","Morphin","Morphin hydrochlorid-3-Wasser","204","Morphinhydrochlorid (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"N02AA01","Morphin","Morphin sulfat","7651","Morphinhemisulfat-2,5-Hydrat","BfArM BEZVO","add_cas_name",""
"L04AA06","Mycophenolsaeure","Mycophenolat mofetil","26196","Mycophenolatmofetil (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"N02AF02","Nalbufin","Nalbuphin hydrochlorid","18999","Nalbuphinhydrochlorid","BfArM BEZVO","add_cas_name",""
"N02AA55|N02AX51|V03AB15","Oxycodon und Naloxon|Tilidin und Naloxon|Naloxon","Naloxon hydrochlorid","12393","Naloxonhydrochlorid","BfArM BEZVO","add_cas_name",""
"A06AB08","Natriumpicosulfat","Natrium picosulfat","5974","Natriumpicosulfat","BfArM BEZVO","add_cas_name",""
"A06AB08","Natriumpicosulfat","Natrium picosulfat-1-Wasser","6240","Natriumpicosulfat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"V03AE10","Natrium-Zirconiumcyclosilicat","Natrium-Zirconium(IV)-cyclosilicat","43087","Natriumzirconiumhydrogencyclohexasilicat-Hydrat (3:2:1:1:x)","BfArM BEZVO","add_cas_name",""
"V07AC","","Natriumcitrat-2-Wasser","212","Natriumcitrat (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"A06AD13","Natriumsulfat","Natriumsulfat-10-Wasser","12721","Natriumsulfat-Decahydrat","BfArM BEZVO","add_cas_name",""
"S01CA55|S03AA23","Dexamethason, Neomycin und Polymyxin B|Polymyxin B, Neomycin und Gramicidin","Neomycin sulfat","1097","Neomycinsulfat","BfArM BEZVO","add_cas_name",""
"N07AA01","Neostigmin","Neostigmin metilsulfat","113","Neostigminmetilsulfat","BfArM BEZVO","add_cas_name",""
"C02DD01","Nitroprussid","Nitroprussidnatrium-2-Wasser","11544","Nitroprussidnatrium (Ph.Eur.)","BfArM BEZVO","add_cas_name",""
"V03AB13","Obidoxim","Obidoxim chlorid","7083","Obidoximchlorid","BfArM BEZVO","add_cas_name",""
"D08AJ57|A01AB24","Octenidin, Kombinationen|Octenidin","Octenidin dihydrochlorid","23152","Octenidindihydrochlorid","BfArM BEZVO","add_cas_name",""
"D08AJ57|A01AB24","Octenidin, Kombinationen|Octenidin","Octenidin dihydrochlorid","23152","Octenidindihydrochlorid","BfArM BEZVO","add_cas_name",""
"C09CA08|C09DB02","Olmesartanmedoxomil|Olmesartanmedoxomil und Amlodipin","Olmesartan medoxomil","27955","Olmesartanmedoxomil","BfArM BEZVO","add_cas_name",""
"N06AA05","Opipramol","Opipramol dihydrochlorid","7764","Opipramoldihydrochlorid","BfArM BEZVO","add_cas_name",""
"A05BA17","Ornithinaspartat","Ornithin aspartat","1890","Ornithinaspartat","BfArM BEZVO","add_cas_name",""
"S01HA02|S01JA51","Oxybuprocain|Fluorescein, Kombinationen","Oxybuprocain hydrochlorid","5370","Oxybuprocainhydrochlorid","BfArM BEZVO","add_cas_name",""
"G04BD04","Oxybutynin","Oxybutynin hydrochlorid","22831","Oxybutyninhydrochlorid","BfArM BEZVO","add_cas_name",""
"N02AA05|N02AA55","Oxycodon|Oxycodon und Naloxon","Oxycodon hydrochlorid","41951","Oxycodonhydrochlorid","BfArM BEZVO","add_cas_name",""
"R01AA05","Oxymetazolin","Oxymetazolin hydrochlorid","4875","Oxymetazolinhydrochlorid","BfArM BEZVO","add_cas_name",""
"S01AA04|S01CA53","Oxytetracyclin|Prednisolon und Oxytetracyclin","Oxytetracyclin hydrochlorid","2917","Oxytetracyclinhydrochlorid","BfArM BEZVO","add_cas_name",""
"M03AC01","Pancuronium","Pancuronium bromid","5222","Pancuroniumbromid","BfArM BEZVO","add_cas_name",""
"N05CP30","Kombinationen","Passionsblumen-Trockenextrakt","1857","Passionsblumenkrauttrockenextrakt ' ((Ethanol/Ethanol-Wasser))","BfArM BEZVO","add_cas_name","Product contains ethanol-extracted passionflower dry extract; no preparation-specific CAS confirmed."
