atc_code,atc_display,dwh_wirkstoff,found_ask,cas_display,cas_name_source,action_import,comment
P03AC04,Permethrin,Permethrin,20807,"Permethrin ((mit Angaben zum cis:trans-Verhältnis [rac-(1R,3R):rac-(1R,3S)-Verhältnis]))",BEZVO CSV,add_cas_name,
N02AB02,Pethidin,Pethidin hydrochlorid,200,Pethidinhydrochlorid,BEZVO CSV,add_cas_name,
D08AJ57,"Octenidin, Kombinationen",Phenoxyethanol,3239,Phenoxyethanol (Ph.Eur.),BEZVO CSV,add_cas_name,
S01FB01,Phenylephrin,Phenylephrin hydrochlorid,1685,Phenylephrinhydrochlorid,BEZVO CSV,add_cas_name,
B05XA14,Dinatrium-1-glycerophosphat,Phosphat-Ion,5011,Phosphat,BEZVO CSV,add_cas_name,
V03AB19,Physostigmin,Physostigmin salicylat,262,Physostigminsalicylat (Ph.Eur.),BEZVO CSV,add_cas_name,
S01EB01,Pilocarpin,Pilocarpin hydrochlorid,263,Pilocarpinhydrochlorid,BEZVO CSV,add_cas_name,
J01CA08,Pivmecillinam,Pivmecillinam hydrochlorid,21902,Pivmecillinamhydrochlorid,BEZVO CSV,add_cas_name,
B05AA01,Albumin,Plasmaprotein (human),10679,Plasmaproteine vom Menschen,BEZVO CSV,add_cas_name,
V03AE01,Polystyrolsulfonat,"Poly(styrol-co-divinylbenzol)sulfonsäure (92:8), Calciumsalz",52176,Poly(styrol-co-divinylbenzol)sulfonsäure-(92:8)-Calciumsalz,BEZVO CSV,add_cas_name,Specific 92:8 cross-linked calcium resin matched; no corresponding CAS confirmed.
V03AE01,Polystyrolsulfonat,"Poly(styrol-co-divinylbenzol)sulfonsäure (92:8), Natriumsalz",8540,Poly(styrol-co-divinylbenzol)sulfonsäure-(x:y)-Natriumsalz,BEZVO CSV,add_cas_name,
H02AB06,Prednisolon,"Prednisolon 21-hydrogensuccinat, Natriumsalz",2806,Natrium(prednisolon-21-succinat),BEZVO CSV,add_cas_name,
S01BA04,Prednisolon,Prednisolon acetat,1270,Prednisolonacetat,BEZVO CSV,add_cas_name,
N01BB04|N01BB54,"Prilocain|Prilocain, Kombinationen",Prilocain hydrochlorid,7720,Prilocainhydrochlorid,BEZVO CSV,add_cas_name,
S02DA55,"Procain, Kombinationen",Procain hydrochlorid,271,Procainhydrochlorid,BEZVO CSV,add_cas_name,
P01BB51,Proguanil und Atovaquon,Proguanil hydrochlorid,17129,Proguanilhydrochlorid,BEZVO CSV,add_cas_name,
N05CM22|R06AD02,Promethazin|Promethazin,Promethazin hydrochlorid,3720,Promethazinhydrochlorid,BEZVO CSV,add_cas_name,
